year,week_number,unique_identifier,start_day,start_month,end_day,end_month,christened_(male),christened_(female),christened_(in_all)
1701,14,Laxton-1701-14-verso,18,March,25,March,165,145,310
1701,15,Laxton-1701-15-verso,25,March,1,April,164,151,315
1701,16,Laxton-1701-16-verso,1,April,8,April,149,157,306
1701,17,Laxton-1701-17-verso,8,April,15,April,143,114,257
1701,18,Laxton-1701-18-verso,15,April,22,April,149,152,301
1701,19,Laxton-1701-19-verso,22,April,29,April,161,139,300
1701,20,Laxton-1701-20-verso,29,April,6,May,141,117,258
1701,21,Laxton-1701-21-verso,6,May,13,May,167,139,306
1701,22,Laxton-1701-22-verso,13,May,20,May,143,128,271
1701,23,Laxton-1701-23-verso,20,May,27,May,157,152,309
1701,24,Laxton-1701-24-verso,27,May,3,June,141,152,293
1701,25,Laxton-1701-25-verso,3,June,10,June,136,132,268
1701,26,Laxton-1701-26-verso,10,June,17,June,162,130,292
1701,27,Laxton-1701-27-verso,17,June,24,June,150,120,270
1701,28,Laxton-1701-28-verso,24,June,1,July,158,136,294
1701,29,Laxton-1701-29-verso,1,July,7,July,167,119,286
1701,30,Laxton-1701-30-verso,8,July,15,July,124,118,242
1701,31,Laxton-1701-31-verso,15,July,22,July,140,134,274
1701,32,Laxton-1701-32-verso,22,July,29,July,160,148,308
1701,33,Laxton-1701-33-verso,29,July,5,August,160,149,309
1701,34,Laxton-1701-34-verso,5,August,12,August,158,154,312
1701,35,Laxton-1701-35-verso,12,August,19,August,151,177,328
1701,36,Laxton-1701-36-verso,19,August,26,August,126,116,242
1701,37,Laxton-1701-37-verso,26,August,2,September,138,142,280
1701,38,Laxton-1701-38-verso,2,September,9,September,149,144,293
1701,39,Laxton-1701-39-verso,9,September,16,September,159,139,298
1701,40,Laxton-1701-40-verso,16,September,23,September,155,163,318
1701,41,Laxton-1701-41-verso,23,September,30,September,150,162,312
1701,42,Laxton-1701-42-verso,30,September,7,October,162,133,295
1702,15,Laxton-1702-15-verso,24,March,31,March,145,151,296
1702,16,Laxton-1702-16-verso,31,March,7,April,152,130,282
1702,17,Laxton-1702-17-verso,7,April,14,April,160,148,308
1702,18,Laxton-1702-18-verso,14,April,21,April,144,171,315
1702,19,Laxton-1702-19-verso,21,April,28,April,96,186,282
1702,20,Laxton-1702-20-verso,28,April,5,May,158,152,310
1702,21,Laxton-1702-21-verso,5,May,12,May,161,143,304
1702,22,Laxton-1702-22-verso,12,May,19,May,148,142,290
1702,23,Laxton-1702-23-verso,19,May,26,May,155,132,287
1702,24,Laxton-1702-24-verso,26,May,2,June,160,165,325
1702,25,Laxton-1702-25-verso,2,June,9,June,129,111,240
1702,26,Laxton-1702-26-verso,9,June,16,June,119,137,256
1702,27,Laxton-1702-27-verso,16,June,23,June,159,140,299
1702,28,Laxton-1702-28-verso,23,June,30,June,190,112,302
1702,29,Laxton-1702-29-verso,30,June,7,July,149,116,265
1702,30,Laxton-1702-30-verso,7,July,14,July,155,148,303
1702,31,Laxton-1702-31-verso,14,July,21,July,144,142,286
1702,32,Laxton-1702-32-verso,21,July,28,July,162,152,314
1702,33,Laxton-1702-33-verso,28,July,4,August,169,145,314
1702,34,Laxton-1702-34-verso,4,August,11,August,159,157,316
1702,35,Laxton-1702-35-verso,11,August,18,August,152,141,293
1702,36,Laxton-1702-36-verso,18,August,25,August,153,157,310
1702,37,Laxton-1702-37-verso,25,August,1,September,128,168,296
1702,38,Laxton-1702-38-verso,1,September,8,September,160,141,301
1702,39,Laxton-1702-39-verso,8,September,15,September,163,138,301
1702,40,Laxton-1702-40-verso,15,September,22,September,163,132,295
1702,41,Laxton-1702-41-verso,22,September,29,September,165,169,334
1702,42,Laxton-1702-42-verso,29,September,6,October,173,154,327
1702,43,Laxton-1702-43-verso,6,October,13,October,172,142,314
1702,44,Laxton-1702-44-verso,13,October,20,October,170,143,313
1701,45,Laxton-1701-45-verso,20,October,27,October,149,153,302
1701,46,Laxton-1701-46-verso,27,October,3,November,138,122,260
1702,47,Laxton-1702-47-verso,3,November,10,November,177,158,335
1702,48,Laxton-1702-48-verso,10,November,17,November,124,157,281
1702,49,Laxton-1702-49-verso,17,November,24,November,147,130,277
1702,50,Laxton-1702-50-verso,24,November,1,December,140,167,307
1702,51,Laxton-1702-51-verso,1,December,8,December,157,170,327
1702,52,Laxton-1702-52-verso,8,December,15,December,167,148,315
1702,1,Laxton-1702-01-verso,15,December,22,December,163,140,303
1702,2,Laxton-1702-02-verso,22,December,29,December,131,146,277
1702,3,Laxton-1702-03-verso,29,December,5,January,155,168,323
1702,4,Laxton-1702-04-verso,5,January,12,January,153,162,315
1702,06,Laxton-1702-06-verso,19,January,26,January,164,149,313
1702,07,Laxton-1702-07-verso,26,January,2,February,163,149,312
1702,8,Laxton-1702-08-verso,2,February,9,February,176,141,317
1702,9,Laxton-1702-09-verso,9,February,16,February,178,174,352
1702,10,Laxton-1702-10-verso,16,February,23,February,165,156,321
1702,11,Laxton-1702-11-verso,23,February,2,March,164,146,310
1702,12,Laxton-1702-12-verso,2,March,9,March,161,166,327
1702,13,Laxton-1702-13-verso,9,March,16,March,153,148,301
1702,14,Laxton-1702-14-verso,16,March,23,March,158,160,318
1703,15,Laxton-1703-15-verso,23,March,30,March,138,134,272
1703,16,Laxton-1703-16-verso,30,March,6,April,157,154,311
1703,17,Laxton-1703-17-verso,6,April,13,April,128,124,252
1703,18,Laxton-1703-18-verso,13,April,20,April,133,126,259
1703,19,Laxton-1703-19-verso,20,April,27,April,139,145,284
1703,20,Laxton-1703-20-verso,27,April,4,May,133,126,259
1703,21,Laxton-1703-21-verso,4,May,11,May,134,141,275
1703,22,Laxton-1703-22-verso,11,May,18,May,119,127,246
1703,23,Laxton-1703-23-verso,18,May,25,May,136,139,275
1703,24,Laxton-1703-24-verso,25,May,1,June,121,128,249
1703,25,Laxton-1703-25-verso,1,June,8,June,130,135,265
1703,26,Laxton-1703-26-verso,8,June,15,June,129,136,265
1703,27,Laxton-1703-27-verso,15,June,22,June,125,119,244
1703,28,Laxton-1703-28-verso,22,June,29,June,130,125,255
1703,29,Laxton-1703-29-verso,29,June,6,July,141,146,287
1703,30,Laxton-1703-30-verso,6,July,13,July,143,152,295
1703,31,Laxton-1703-31-verso,13,July,20,July,143,137,280
1703,32,Laxton-1703-32-verso,20,July,27,July,129,120,249
1703,33,Laxton-1703-33-verso,27,July,3,August,132,141,273
1703,34,Laxton-1703-34-verso,3,August,10,August,152,147,299
1703,35,Laxton-1703-35-verso,10,August,17,August,128,134,262
1703,36,Laxton-1703-36,17,August,24,August,157,162,319
1703,37,Laxton-1703-37-verso,24,August,31,August,145,138,283
1703,38,"Laxton-1703-38-verso""",31,August,7,September,152,156,308
1703,39,Laxton-1703-39-verso,7,September,14,September,171,183,354
1703,40,Laxton-1703-40-recto,14,September,21,September,123,126,249
1703,41,Laxton-1703-41-verso,21,September,28,September,154,143,297
1703,42,Laxton-1703-42-verso,28,September,5,October,172,179,351
1703,43,Laxton-1703-43-verso,5,October,12,October,177,159,336
1703,45,Laxton-1703-45-verso,19,October,26,October,169,152,321
1703,46,Laxton-1703-46-verso,26,October,2,November,170,183,353
1703,47,Laxton-1703-47-verso,2,November,9,November,172,166,338
1703,48,Laxton-1703-48-verso,9,November,16,November,157,148,305
1703,51,Laxton-1703-51-verso,30,November,7,December,164,158,322
1703,52,Laxton-1703-52-verso,7,December,14,December,167,179,346
1703,1,Laxton-1703-01-verso,14,December,21,December,166,152,318
1703,2,Laxton-1703-02-verso,21,December,28,December,168,155,323
1703,3,Laxton-1703-03-verso,28,December,4,January,168,179,347
1703,4,Laxton-1703-04-verso,4,January,11,January,170,162,332
1703,5,Laxton-1703-05-verso,11,January,18,January,167,154,321
1703,6,Laxton-1703-06-verso,18,January,25,January,176,162,338
1703,7,Laxton-1703-07-verso,25,January,1,February,172,176,348
1703,8,Laxton-1703-08-verso,1,February,8,February,170,158,328
1703,9,Laxton-1703-09-verso,8,February,15,February,144,127,271
1703,10,Laxton-1703-10-verso,15,February,22,February,171,164,335
1703,11,Laxton-1703-11-verso,22,February,29,February,158,167,325
1703,12,Laxton-1703-12-verso,29,February,7,March,193,153,346
1703,13,Laxton-1703-13-verso,7,March,14,March,147,133,280
1703,14,Laxton-1703-14-verso,14,March,21,March,170,158,328
1704,15,Laxton-1704-15-verso,21,March,28,March,153,139,292
1704,16,Laxton-1704-16-verso,28,March,4,April,135,175,310
1704,17,Laxton-1704-17-verso,4,April,11,April,158,139,297
1704,18,Laxton-1704-18-verso,11,April,18,April,153,154,307
1704,19,Laxton-1704-19-verso,18,April,25,April,173,141,314
1704,20,Laxton-1704-20-verso,25,April,2,May,158,125,283
1704,21,Laxton-1704-21-verso,2,May,9,May,162,144,306
1704,22,Laxton-1704-22-verso,9,May,16,May,123,137,260
1704,23,Laxton-1704-23-verso,16,May,23,May,134,126,260
1704,24,Laxton-1704-24-verso,23,May,30,May,137,126,263
1704,25,Laxton-1704-25-verso,30,May,6,June,129,139,268
1704,26,Laxton-1704-26-verso,6,June,13,June,130,129,259
1704,27,Laxton-1704-27-verso,13,June,20,June,110,120,230
1704,28,Laxton-1704-28-verso,20,June,27,June,151,135,286
1704,29,Laxton-1704-29-verso,27,June,4,July,122,109,231
1704,30,Laxton-1704-30-verso,4,July,11,July,130,141,271
1704,31,Laxton-1704-31-verso,11,July,18,July,158,124,282
1704,32,Laxton-1704-32-verso,18,July,25,July,138,132,270
1704,33,Laxton-1704-33-verso,25,July,1,August,163,151,314
1704,34,Laxton-1704-34-verso,1,August,8,August,144,124,268
1704,35,Laxton-1704-35-verso,8,August,15,August,136,117,253
1704,36,Laxton-1704-36-verso,15,August,22,August,150,134,284
1705,33,Laxton-1705-33-verso,31,July,7,August,197,154,351
1705,34,Laxton-1705-34-verso,7,August,14,August,190,173,363
1705,35,Laxton-1705-35-verso,14,August,21,August,160,164,324
1705,36,Laxton-1705-36-verso,21,August,28,August,172,159,331
1705,37,Laxton-1705-37-verso,28,August,4,September,175,147,322
1705,38,Laxton-1705-38-verso,4,September,11,September,163,144,307
1705,39,Laxton-1705-39-verso,11,September,18,September,156,174,330
1705,40,Laxton-1705-40-verso,18,September,25,September,174,187,361
1705,41,Laxton-1705-41-verso,25,September,2,October,181,187,368
1705,42,Laxton-1705-42-verso,2,October,9,October,177,154,331
1705,43,Laxton-1705-43-verso,9,October,16,October,178,172,350
1705,44,Laxton-1705-44-verso,16,October,23,October,190,166,356
1705,45,Laxton-1705-45-verso,23,October,30,October,161,165,326
1705,46,Laxton-1705-46-verso,30,October,6,November,171,142,313
1705,47,Laxton-1705-47-verso,6,November,13,November,167,177,344
1705,48,Laxton-1705-48-verso,13,November,20,November,158,151,309
1705,49,Laxton-1705-49-verso,20,November,27,November,172,162,334
1705,50,Laxton-1705-50-verso,27,November,4,December,151,136,287
1705,51,Laxton-1705-51-verso,4,December,11,December,167,147,314
1705,52,Laxton-1705-52-verso,11,December,18,December,166,155,321
1705,1,Laxton-1705-01-verso,,,25,December,127,127,254
1705,2,Laxton-1705-02-verso,,,1,January,154,168,322
1705,3,Laxton-1705-03-verso,,,8,January,163,159,322
1705,4,Laxton-1705-04-verso,,,15,January,182,157,339
1705,5,Laxton-1705-05-verso,,,22,January,154,153,307
1705,6,Laxton-1705-06-verso,,,29,January,170,135,305
1705,7,Laxton-1705-07-verso,,,5,February,166,153,319
1705,8,Laxton-1705-08-verso,,,12,February,180,180,360
1705,9,Laxton-1705-09-verso,,,19,February,158,137,295
1705,10,Laxton-1705-10-verso,,,26,February,168,166,334
1705,11,Laxton-1705-11-verso,,,5,March,169,141,310
1705,12,Laxton-1705-12-verso,,,12,March,154,169,323
1705,13,Laxton-1705-13-verso,,,19,March,165,144,309
1710,33,Laxton-1710-33-verso,,,1,August,150,128,278
1752,38,Laxton-1752-38-verso,,,1,September,159,121,280
1722,44,Laxton-1722-44-verso,,,16,October,199,162,351
1732,37,Laxton-1732-37-verso,,,29,August,190,155,345
1740,,Laxton-1740-53-verso,,,16,December,159,122,281
1700,1,Laxton-1700-01-verso,17,December,24,December,136,106,242
1700,2,Laxton-1700-02-verso,24,December,31,December,175,139,314
1700,3,Laxton-1700-03-verso,31,December,7,January,169,158,327
1700,4,Laxton-1700-4-verso,7,January,14,January,152,120,272
1700,5,Laxton-1700-05-verso,14,January,21,January,163,153,316
1700,6,Laxton-1700-06-verso,21,January,28,January,166,160,326
1700,7,Laxton-1700-07-verso,28,January,4,February,193,151,344
1700,8,Laxton-1700-08-verso,4,February,11,February,160,161,321
1700,9,Laxton-1700-09-verso,11,February,18,February,166,162,328
1700,10,Laxton-1700-10-verso,18,February,25,February,163,177,340
1700,11,Laxton-1700-11-verso,25,February,4,March,154,161,315
1700,12,Laxton-1700-12-verso,4,March,11,March,157,138,295
1700,13,Laxton-1700-13-verso,11,March,18,March,157,148,305
1701,1,Laxton-1701-01-verso,16,December,23,December,140,120,260
1701,2,Laxton-1701-02-verso,23,December,30,December,137,115,252
1701,3,Laxton-1701-03-verso,30,December,6,January,173,149,322
1701,4,Laxton-1701-04-verso,6,January,13,January,136,155,291
1701,5,Laxton-1701-05-verso,13,January,20,January,146,147,293
1701,6,Laxton-1701-06-verso,20,January,27,January,145,136,281
1701,7,Laxton-1701-07-verso,27,January,3,February,156,133,289
