printedYear,splitYear,billYear,description,startMonth,startDay,endMonth,endDay,callNumber,rightsHolder,notes
1591,1591,1590/1591,Monarch's Bill,November,25,December,2,BL RP 1450,British Library,duplicate of FSL bill
1591,1591,1590/1591,Monarch's Bill,November,25,December,2,FSL MS X.d.519,Folger Shakespeare Library,duplicate of BL bill
1659,1659/1660,1659/1660,Council of State's Bill,January,10,January,17,BL E.1079(3),British Library,"also on EEBO, illegible"
1665,1665/1666,1665/1666,Monarch's Bill,March,13,March,20,SP 29/185/96 f118-123,The National Archives,also on SPO
1666,1666,1665/1666,Monarch's Bill,April,10,April,17,SP 29/185/97 f124-129,The National Archives,also on SPO
1666,1666,1665/1666,Monarch's Bill,May,22,May,29,SP 29/185/99 f131-136,The National Archives,also on SPO
1666,1666,1665/1666,Monarch's Bill,July,10,July,17,SP 29/185/106 f143-148,The National Archives,also on SPO
1666,1666,1665/1666,Monarch's Bill,September,18,September,25,SP 29/185/113 f163-168,The National Archives,also on SPO; Great Fire of London bill
1666,1666/1667,1666/1667,Monarch's Bill,January,1,January,8,Bodl. Gough Lond(50),"Bodleian Library, University of Oxford",
1666,1666/1667,1666/1667,Monarch's Bill,January,15,January,22,SP 29/229/49 f63-67,The National Archives,also on SPO
1666,1666/1667,1666/1667,Monarch's Bill,January,22,January,29,SP 29/229/50 f68-72,The National Archives,also on SPO
1666,1666/1667,1666/1667,Monarch's Bill,January,8,January,15,SP 29/229/48 f58-62,The National Archives,also on SPO
1666,1666/1667,1666/1667,Monarch's Bill,February,12,February,19,SP 29/229/53 f75-78,The National Archives,also on SPO
1667,1667,1666/1667,Monarch's Bill,April,23,April,30,SP 29/229/59 f84-88,The National Archives,also on SPO
1667,1667,1666/1667,Monarch's Bill,May,21,May,28,SP 29/229/61 f91-95,The National Archives,also on SPO
1667,1667/1668,1667/1668,Monarch's Bill,March,10,March,17,GL SPam 202,Guildhall Library,"also on EEBO, illegible"
1668,1668,1667/1668,Monarch's Bill,April,14,April,21,Bodl. Gough Lond(50),"Bodleian Library, University of Oxford",
1668,1668,1667/1668,Monarch's Bill,May,26,June,2,Bodl. Gough Lond(50),"Bodleian Library, University of Oxford",
1668,1668,1667/1668,Monarch's Bill,June,2,June,9,Bodl. Gough Lond(50),"Bodleian Library, University of Oxford",
1668,1668,1667/1668,Monarch's Bill,August,18,August,25,Bodl. Gough Lond(50),"Bodleian Library, University of Oxford",
1668,1668,1667/1668,Monarch's Bill,December,15,December,22,SP 9/56/12,The National Archives,
1668,1668/1669,1668/1669,Monarch's Bill,January,26,February,2,SP 29/269/286 f144-148,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,June,1,June,8,SP 29/169/287 f149-154,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,June,15,June,22,SP 29/169/288 f155-160,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,June,22,June,29,SP 29/169/289 f161-166A,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,July,13,July,20,SP 29/169/290 f166B-171,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,July,20,July,27,SP 29/169/291 f172-177,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,July,27,August,3,SP 29/269/292 f178-183,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,August,3,August,10,SP 29/269/293 f184-189,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,August,18,August,24,SP 29/269/294 f190-195,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,August,24,August,31,SP 29/269/295 f196-201,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,September,21,September,28,SP 29/269/296 f202-207,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,October,5,October,12,SP 29/269/297 f208-213,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,November,16,November,23,SP 29/269/298 f214-219,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,December,7,December,14,SP 29/269/299 f220-225,The National Archives,also on SPO
1669,1669,1668/1669,Monarch's Bill,December,14,December,21,SP 29/269/300 f226-231,The National Archives,also on SPO
1669,1669,1669/1670,Monarch's Bill,December,21,December,28,SP 29/269/301 f232-237,The National Archives,also on SPO
1690,1690,1689/1690,Mayor's Bill,May,6,May,13,GL PAM 1397,Guildhall Library,
1690,1690/1691,1690/1691,Monarch's Bill,January,27,February,3,,Cambridge University Library,accessed via EEBO
1719,1719,1718/1719,Monarch's Bill,May,5,May,12,SP 35/16/54,The National Archives,also on SPO