"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,"Week Number","Unique Identifier","Start Day","Start Month","End Day","End Month",Aged,Ague,Apoplexy,Asthma,Bed-ridden,Blasted,Bleeding,Bloody-flux,Calenture,Cancer,Canker,"Chicken Pox",Child-Bed,Chrisoms,Cold,Colick,Consumption,Convulsion,Cough,Cramp,Diabetes,Dropsie,Falling-sickness,Fever,Fistula,"Flox and Small-Pox","Flox and Small-Pox (Descriptive Text)",Flux,French-Pox,Frets,Gangreen,Gout,Gravel,Grief,"Griping in the Guts",Headache,Headmouldshot,"Hooping Cough",Hiccough,Horshoehead,Impostume,Infants,Inflammation,Itch,Jaundies,Jaw-fallen,"Kings Evil",Leprosie,Lethargy,Liver-grown,Looseness,"Lunatick and Frenzy","Malignant Fever",Meagrim,Measles,Miscarriage,Mortification,Mother,"Noli me tangere",Palsie,Plague,Planet,Plurisie,Purples,Quinsie,Rash,Rheumatism,Rickets,"Rising of the Lights","Running of the Reins",Rupture,"Scald Head","Scarlet Fever",Sciatica,Scowring,Scurvy,Sores,Shingles,Spleen,Spotted-Fever,"St. Anthony's Fire",Starved,"Starved (Descriptive Text)",Stone,"Stopping of the Stomach",Strangury,Strongullion,Suddenly,Surfeit,"Swelling in the Throat",Swine-Pox,Teeth,Thrush,Tissick,Tympany,"Twisting of the Guts",Ulcer,Vapours,Vomiting,"Water in the Head",Wen,Wind,Wolf,Worms,Abortive,Overlaid,Still-born,Drowned,"Drowned (Descriptive Text)","Found Dead","Found Dead (Descriptive Text)",Executed,"Executed (Descriptive Text)",Killed,"Killed (Descriptive Text)",Suicide,"Suicide (Descriptive Text)",Other,"Other (Descriptive Text)","Christened (Male)","Christened (Female)","Christened (In All)","Buried (Male)","Buried (Female)","Buried (All)","Increase/Decrease in Burials"
712,14501,951,1,1701,14,Laxton-1701-14-verso,18,March,25,March,38,,,,,,1,1,,2,1,,2,,,,53,134,,,,15,,51,,16,,,1,,,,,,18,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,1,2,,,1,7,2,,,,,,,,,,,2,,,,,12,,,1,,,,29,1,12,,,3,,,,,,,,6,2,11,1,"Drowned accidentally in the River Lee, Buried at St John at Hackney",,,2,,2,"One with a Sword at St Andrew in Holnorn 1; Murdered at Christs Church in London 1",,,1,"one by a Fall down a Pair of Stairs at St James in Westminster",165,145,310,205,230,435,10
713,14502,1076,1,1701,15,Laxton-1701-15-verso,25,March,1,April,32,,1,,,,,,,,,,3,1,,1,70,133,,,,16,,58,,13,,,1,,,,,,15,,,,,,3,,,,2,,3,,,,,,,,,,,,,,,,1,,1,,,9,3,,1,,,,,,,,,1,,,,,12,,,1,4,,,30,1,7,,,,,,,,,,1,1,1,7,2,"One accidentally at St. Dunstan in the East, and one at Saviour in Southwark. ",,,,,3,"One with a Sword at St Giles in the Fields 1; Murdered...One at St James at Clerkenwel 1; Murdered... one at Margaret at Westminster 1",,,2,"One by accidental Fall down Stairs in Blackfryars 1; One by a fall from a Coach at St James in Westminster 1",164,151,315,219,221,440,5
714,14503,1082,1,1701,16,Laxton-1701-16-verso,1,April,8,April,38,,1,,,,,,,1,,,4,,,1,48,91,,,,17,,63,,20,,1,1,,,,,,25,,,,,,1,,,,1,,3,,,1,,,,,,,,,,,,,,1,,,,13,3,,,,,1,,,,,,,,,,1,17,,,,1,,,28,,12,,,,,,,,,,1,1,3,7,2,"One at St Mary at Rotherheth, and one in the River of Thames at St Paul at Shadwel. ",,,,,1," One by Sword at St Giles in the Fields. ",1,"Stab'd himself (being distracted) at St Andrew in Holborn 1.",1,"One by a Wheel of a Brewers Dray at St Margaret in Westminter. ",149,157,306,221,190,411,-29
715,14504,1086,1,1701,17,Laxton-1701-17-verso,8,April,15,April,34,,,,,,1,,,1,,,6,,,,44,95,,,,13,,54,,21,,,1,,,,,,31,,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,2,,,,,8,,,3,1,,,28,1,10,,,3,,,,,,,2,3,2,6,2,"One by Misfortune in the River of Thames out of a Row Barge, Buried at St Alphage, and one at the Tower- Wharf, Buried at St. Ann within Alderfgate",,,1,,1,"Murder'd at St Martin in the Fields.",1,"Hang'd himself (being Lunatick) at St Mary in Whitechappel. ",,,143,114,257,197,195,392,-19
716,14505,1088,1,1701,18,"Laxton-1701-18-verso ",15,April,22,April,24,,2,,1,,,,,3,,,8,1,,2,49,109,,,,12,,62,,28,,,,,,,,1,26,,,,,,,,,,3,,,,1,1,,,,,,,,,,,,,1,,,,,13,3,,1,1,,,,,,,,1,,,,1,11,1,,1,,,,48,1,9,,,2,,,,,,,1,3,3,11,2,"One in Thomas at St Dustan at Stepney, and one drowned herself in the New River-Head, Buried at James Clerkenwel.",,,,,1,"KiIl'd by the Wheel of a Waggon at St Dustan at Stepney. ",1,"Hang'd himself (being lunatick) at St Ann in Westminter. ",1,"Sore Hand",149,152,301,223,227,450,58
717,14506,1101,1,1701,19,Laxton-1701-19-verso,22,April,29,April,35,,1,,,,,,,,,,7,,,3,44,111,,,,15,,61,,25,,,1,,,,,,26,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,1,,,,1,9,4,,2,,,,,3,,,,,,,,,11,,,2,,,,39,,8,,,1,,,,,,,,,1,7,,,,,3,,,,1,"Hang'd himself (being Lunatick) at St James at Clerkenwel 1",4,"Kill'd by Falls from Horses 2. One a man on the Road; And one a Child at Hamstead, Buried at St Sepulchres; Shot himself accidentally with a Pistol at St Mary Aldermary 1; Sore leg 1",161,139,300,215,215,430,-20
718,14507,1078,1,1701,20,Laxton-1701-20-verso,29,April,6,May,29,,3,,,,1,,,1,,,6,1,,2,46,109,,,,6,,57,,35,,,1,,,1,,1,30,,,,,,,,,,3,,1,,,,,1,,,,,,,,1,,,3,,,,,12,3,,,,,,,,,,1,2,,,,2,5,,,2,,,,38,,9,,,,,,,,,,,1,2,6,2,"One accidentally in a Ditch at St George in Southwark; And one in the River of Thames at St Dunstan at Stepney",,,,,2,"One by a Coach at St James in Westminster 1; Murder'd at St Peter Poor, Buried at the Swedes Church in Trinity Lane 1",2,"Cut his own Throat at St James in Westminster 1; Poyson'd herself (being Lunatik) at St Andrew in Holborn 1",3,"Burnt at St Laurence Jewry, Buried at St Bartholomew the Great 1; One by an accidental Fall from a Ladder at Alhallows Barkin 1; And one at St Margaret in Westminster 1",141,117,258,222,208,430,0
759,14508,1083,1,1701,21,Laxton-1701-21-verso,6,May,13,May,30,,1,,,,,,,2,,,5,2,,3,56,121,,,,20,,73,1,35,,,1,,,,,,13,,,,,,2,,,,,,2,,,,,,,,,,,,,1,,,1,1,,,,19,3,,,,,,,,,,,2,,,,,6,,,1,2,,,32,,4,,,1,,,,,,,3,2,4,7,1,"Drowned in the Thames, Buried at St Peter in Cornhil",1,"Found dead an Infant at St Brides",,,,,,,1,"Kill'd accidentally by a Fall down a Pair of Stairs at St John at Wapping",167,139,306,225,234,459,29
760,14509,1089,1,1701,22,Laxton-1701-22-verso,13,May,20,May,25,,,,,,,,,,,,7,1,,1,43,121,,,,14,,68,,21,,,1,,1,,,,16,,1,,,,,,,,2,,2,,,,,1,,,,,,,,2,,,2,,1,,2,15,2,,1,,,,,,,,,4,,,,2,10,,,2,2,,,24,1,2,,,,,,,,,,1,3,1,8,4,"Two accidentally: whereof one in a Tan-Fatt at St Olave in Southwark; and one an Infant in a Tub of Water at St Giles in the Fields; One in a Tub of Water at St Leonard in Shoreditch; and one at St Mary at Retherheth",1,"Found dead a Man in the Street at St Giles in the Fields 1",,,1,"Kill'd by a Dray at St John at Wapping 1",,,,,143,128,271,223,193,416,-43
761,14510,1092,1,1701,23,Laxton-1701-23-verso,20,May,27,May,30,,,,,,,,,,1,,3,1,,3,47,118,,,,10,,72,1,22,,,,,,,,1,21,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,13,,,,,,1,,,,,,,,,,1,5,1,,2,1,,,20,,2,1,,,,,,,,,,,3,10,1,"Drowned accidentally in the Thames at St Mary at Retherheth 1",1,"Found murdered an Infant in the Street at St James in Westminster 1",2,,,,2,"Distracted at St James at Clerkenwel 1; Poyson'd herself at St Leonard in Shoreditch 1",4,"Kill'd...accidentally...whereof one by a Fall down Stairs at St Andrew in Holborn 1; Kill'd...accidentally... and one by the Fall of a Ladder at St James in Westminster 1; One by a Fall from a Window at St Dunstan at Stepney 1; and one by the Kick of a Horse at St Martin in the Fields 1",157,152,309,207,197,404,-12
762,14511,1093,1,1701,24,Laxton-1701-24-verso,27,May,3,June,19,,1,,,,,,,2,,,4,,,3,50,112,,,,16,,44,,29,,,,,1,,,,33,,,,,,,,,,4,,3,,1,1,,,,,,,,,,,,,,,,,1,11,1,,2,,,,,,,,,3,,,,1,8,,,1,1,,,31,,2,,,,,,,,,,1,1,2,5,1,"Drowned accidentally in the Thames at St Mary at Retherheth 1",,,,,1,"One with a Horse-mane Card at St Giles in the Fields",2,"Hang'd themselves 2. One (being Lunatik) at St James at Clerkenwel, Buried at Christs Church, London 1;  And one at St Dunstan at Stepney 1",2,"One by a Fall off of a Horse at St Margaret in Westminster 1; And one at St Martin in the Fields 1",141,152,293,199,201,400,-4
763,14512,1074,1,1701,25,Laxton-1701-25-verso,3,June,10,June,23,,,,,,,,,2,,,4,3,,2,38,94,,,,11,,42,,27,,,1,,1,,,,15,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,,,8,2,,1,,,,,,,,,2,,,,1,4,,,,,,,26,,2,,,2,,2,,,,,,2,,4,3,"One in the Thames at St Paul at Shadwel. And two at St Martin in the Fields.",,,,,,,1,"Hang'd himself (being distracted) at St Clement Danes 1.",1,"Kill'd accidentally at St Ann in Westminster 1.",136,132,268,168,159,327,-73
764,14513,1081,1,1701,26,Laxton-1701-26-verso,10,June,17,June,26,,1,,,,,,,2,,,1,,,,44,90,,,,9,,66,,24,,,,,,,,,21,,,,,,,2,,,1,,2,,,1,,,,,,,1,,,1,,,1,,1,,,13,4,,,,,,,2,,,,,,,,,5,,,1,1,,,21,3,1,,,2,,,,,,,1,1,,10,2,"Drowned accidently in the River of Thames 2. One at Thomas the Apostle. And one at St Olave in Southwark.",,,,,,,,,2,"Bruised at St Botolph by Aldgate 1; Kill'd at Deptford, Buried at St Andrew in Holborn1. ",162,130,292,175,188,363,36
765,14514,1090,1,1701,27,Laxton-1701-27-verso,17,June,24,June,17,,2,,,,,,,1,,,3,,,2,58,106,,,,5,,51,,17,,1,1,,,,,,16,,,,,,2,,,,3,,,,,,,,,,,,1,,,,,,1,,,,,5,2,,2,,,,,,,,,2,,,,,5,,,,1,,,17,1,1,1,,2,,1,,,,,,,2,2,2,"One in a House of Office at St Olave in Southwark; And one in the Thames at St Mary at Retherheth",1,"Found dead in the Street a Male Infant at Alhallows the Wall 1.",1,,1,"And one a Boy by his Father at St Saviour in Southwark",,,2,"Chincough 1; One by a Fall out of a Window at St Leonard in Shoreditch",150,120,270,165,173,338,-25
766,14515,1094,1,1701,28,Laxton-1701-28-verso,24,June,1,July,19,,,,,,,,,2,,,7,,,1,50,112,,,,14,,62,,17,,,4,,,1,,1,16,,,,,,1,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,7,,,,,,,,1,,,,,,,,2,4,,,5,,,,27,1,1,,,1,,,,,,,,2,1,26,7,"One at St Giles by Cripplegate; One at St Dunstan at Stepney; Three in the Thames;  One at Paulswarf, buried at St James at Clerkenwel; One at St Mary at Retherheth; One at St Mary in the Savoy; And two in a Pond at St Leonard in Shoreditch.",,,,,1,"One by a Cart at St Margaret in Westminster.",1,,2,"And two by the Fall of a House at St Martin in the Fields.",158,136,294,208,190,398,60
767,14516,1095,1,1701,29,Laxton-1701-29-verso,1,July,7,July,21,,1,,,,,,,4,,,3,1,,2,47,111,,,,12,,49,1,22,,,1,,,1,,,21,,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,1,4,,,,1,,,25,,3,1,,2,,1,,,,,,3,3,8,6,"Two at St Dunstan at Stepney; One at St Magdalen Bermondey; Two in the Thames at St Mary at Retherheth; And one at St Martin in the Fields.",1,"Found dead in the Street an Infant at St Paul in Covent Garden 1. ",,,,,1,"Hang'd herself (being distracted) at St Andrew in Holborn 1.",1,"Died by Misfortune (being so reported) at St Duustan at Stepney 1.",167,119,286,172,199,371,-27
768,14517,1080,1,1701,30,Laxton-1701-30-verso,8,July,15,July,19,,1,,,,,,,,,,,,,,55,106,,,,14,,53,,18,,,2,,1,,,,23,,,,,,2,,,,2,,2,,,,,1,,,,,,,,2,,,,,,,,8,1,,,,,,,,,,,3,,,,,5,,,,1,,,24,1,2,,,,,,,,,,,2,1,12,2,"Drowned 2. One in the Thames at St Mary Somerset. And one at St Olave  in Southwark.",,,,,,,,,1,"Kill'd by a Fall from a House at St Giles by Cripplegate 1.",124,118,242,192,172,364,-7
769,14518,1084,1,1701,31,Laxton-1701-31-verso,15,July,22,July,26,,1,,,,,,,,,,6,1,,2,45,144,1,,,11,,61,2,12,,,2,,1,1,,,36,,,,,,,,,,1,,,,,1,,2,,1,,,,,,,,,3,1,,,,6,,,1,,,,,,,,,2,,,,,6,,,,1,,,38,2,2,,,1,,,,,,,1,,2,7,5,"Drowned 5. One at St Dunstan in the East. One at St Dunstan at Stepny. Two in the Thames at St Paul at Shadwel. And one at  St Clement Danes.",1,"Found dead at St Paul at Shadwel 1.",,,,,,,2,"One in the Fall of feveral Piggs of lead at St Dunslan in the East 1; And one by a Pot at St Giles in the Fields 1.",140,134,274,211,228,439,75
770,14519,1114,1,1701,32,Laxton-1701-32-verso,22,July,29,July,22,,1,,,,,,,,,,3,,,2,48,139,,,,15,,38,2,22,,,1,,1,,,,37,,1,,,,,1,,,,,2,,,,,,,,,,,,,,,,2,,,,1,9,,,,,,,,,,,,1,,,,1,5,,,1,3,,,28,2,1,,,2,,,1,,,,,,1,2,3,"One in the Thames, Buried at St Andrews in Holborn; And Two Brothers at London-Bridge, Buried at St Bridget alias Brides.",,,,,1,"One with a Sword at St Giles in the Fields",1,"Strangled herself, Buried in a Cross-way at St Margaret in Westminster 1",1,"And one at St James in Westminster.",160,148,308,206,195,401,-38
771,14520,1115,1,1701,33,Laxton-1701-33-verso,29,July,5,August,25,,5,,,,,,,,,,5,1,,,38,126,,,,8,,41,,13,,,1,,1,1,,,35,,,,,,,3,,,1,,,,,,,1,,,,,,,,,,,2,2,,,,5,,,1,,,,,,,,,1,,,,2,7,1,,1,1,,,19,2,,2,,1,,1,,,,,1,,3,5,7,"One at St Magnus by London-Bridge; One at St Olave in Southwark; One at St Saviour in Southwark; One in a Tub of Soup Suds at St Katharine by the Tower; One at Lambeth; One a Man unknown at St Margaret in Westminster; And one at St Martin in the Fields.",,,,,1,"One by a Coach at St Ann in Westminster.",,,1,"And one by a Fall out of a Window at St Martin in the Fields.",160,149,309,190,181,371,-30
772,14521,1116,1,1701,34,Laxton-1701-34-verso,5,August,12,August,15,,2,,,,,,,2,1,,2,3,,2,43,139,,,1,15,,54,,18,,,2,,1,,,,41,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,8,,,,,,,,,,,,,,,,2,6,,,1,1,,,23,2,3,,,2,,2,,,,,,,,11,2,"One in the Thames at Three-Crane-Wharf, Buried at St Mary Woolnoth; And one in a Tub of Water at St Dunstan at Stepney",,,,,2,"One by a Cart at St Martin in the Fields; And one by the Pole of a Coach at St Mary in the Savoy",1,"Hang'd himself (being Lunatick) at St Paul at Shadwel 1",,,158,154,312,204,207,411,40
773,14522,1117,1,1701,35,Laxton-1701-35-verso,12,August,19,August,25,,4,,,,,,,,1,,7,,,3,46,125,1,,,8,,48,1,18,,,1,,1,1,,,28,,,,,,4,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,3,,,,1,4,,,1,2,,,26,,5,1,,1,,1,,,,,,4,,9,1,"Drowned a Person unknown at St Clement Danes 1. ",1,"Found dead a Male Child at St James at Clerkenwel 1.",,,1,"Murder'd at St Martin in the Fields 1.",1,"Cut his own Throat (being Lunatick) at St Katharine Creedchurch 1.",2,"Bruised at St Saviour in Southwark 1; Kill'd by an accidental Fall into a Dock at St Mary at Retherheth 1. ",151,177,328,206,191,397,-14
774,14523,1118,1,1701,36,Laxton-1701-36-verso,19,August,26,August,22,,2,,,,1,,,1,1,,1,,,1,49,135,,1,,10,,58,,13,,,,,,,,,33,,,,,,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,1,,,,1,6,,,2,,,,38,,,,,2,,2,,,,,1,1,,10,3,"One in the Thames out of a Lighter at St Bennet at Paulswharf; One near the Custom-house, Buried at St Olave in Hartstreet; And one in a Ditch at St Mary at Retherheth",1,"Found dead in the Street a Male Infant at St Bridget alias St Brides 1",,,,,,,1,"Kill'd by the Sails of a Windmill at Battersea, Buried at St Clement Danes 1.",126,116,242,198,216,414,17
775,14524,1126,1,1701,37,Laxton-1701-37-verso,26,August,2,September,28,,1,,,,1,1,,1,,,1,,,3,42,141,,,,11,,60,1,29,,1,1,,,,,,51,,1,,,,3,1,,,1,,,,,,,,,,,,1,,,,,,1,,,,1,10,1,,,,,,,,,,,1,,,,,5,,,2,1,,,33,,1,,,1,,1,1,,,,,1,,7,1,"Drowned in the Thames out of a Boat at St Katharine by the Tower 1.",1,"Found dead a Male Infant at St Dunstan at Stepney 1.",,,,,,,1,"Kill'd by a fall at St Ann in Westminster 1.",138,142,280,229,221,450,36
776,14525,1127,1,1701,38,Laxton-1701-38-verso,2,September,9,September,22,,1,,1,,,,,1,,,2,,,4,56,119,,,,12,,55,,10,,,,,,1,,,35,,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,7,,,4,3,,,31,,3,,,2,,,,,,,,2,1,3,1,"Drowned accidentally in the Thames at St Bridget alias St Brides 1.",1,"Found dead an Infant at St Margret in Westminster 1. ",,,,,1,"Hang'd himself (being Lunatick) at St Dunstan at Stepney 1.",2,"Kill'd by a Fall out of a Window at St Giles by Cripplegate 1; Dead Palsie 1",149,144,293,194,200,394,-56
777,14526,1159,1,1701,39,Laxton-1701-39-verso,9,September,16,September,17,,2,,,,,,,1,,,4,1,,,57,105,,,,4,,65,1,15,,,2,,,,,,27,,,,,,1,,,,2,,,,,,1,,,,,,,,,1,,,,,1,,,10,1,,1,,,,,,,,,1,,,,1,3,,,,1,,,29,,1,,,1,,2,,,,,,5,1,8,2,"One in the Thames at St Mary Abchurch. And one in the Tub of Water at St John Wapping",,,,,,,,,3,"Two by Horses whereof one at St Giles in the Fields, And one at St John at Hackney 2; One by a Fall down Stairs at St Sepulchres 1",159,139,298,178,199,377,-17
778,14527,1160,1,1701,40,Laxton-1701-40-verso,16,September,23,September,22,,4,,,,,,,1,,,2,,,4,46,105,,,,7,,57,1,16,,,1,,1,,,,33,,,,,,1,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,2,,,,,4,,,2,,,,24,1,1,,,1,,2,,,,,1,3,,14,,,,,,,,,2,"Hang'd herself (being distracted) at St. Clement Danes 1; Poyson'd himself (being Lunatick) at St Mary in Whitechappel 1 
",2,"Burnt at St Bennet at Paulswharf 1; Kill'd by a Fall from a house  at St. James in Westminster 1 ",155,163,318,173,196,369,-8
820,14529,1162,1,1701,42,Laxton-1701-42-verso,30,September,7,October,24,,,,1,,,1,,2,,,1,,,3,42,92,,,,12,,43,1,13,,,,,1,,,,20,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,10,1,,1,,,,,,,,,1,,,,1,9,,,1,,,,31,,3,1,,,,,1,,,,1,1,2,16,2,"One in Thames at St Paul Shadwel. And one at St Martin in the Fields. ",2,"One a Male Child at St Botolph by Bishopsgate. And one in the Thames at St Dunstan at Stepney. ",,,1,"Murder'd at St Giles by Cripplegate 1. ",,,,,162,133,295,178,167,345,-17
885,14547,1111,1,1702,15,Laxton-1702-15-verso,24,March,31,March,27,,1,,,,1,,,,,,3,,,2,47,106,,,,15,,46,1,5,"flox 0; small-pox 5",,1,,1,,,,18,,,,,,2,,,,3,,3,,,,,1,,,,,,,,,,,,,,,,8,3,,1,,,,,,,,,,,,,,2,,,1,1,,,31,,12,,,,,,,,,,,,3,13,1,"Drown'd in St James's Park, Buried at St Mary at Lambeth 1",,,,,,,,,,,145,151,296,187,173,360,-26
886,14548,1112,1,1702,16,Laxton-1702-16-verso,31,March,7,April,33,,,,,,1,,,,1,,7,,,,58,81,1,,,17,,46,,2,"flox 0; small-pox 2",,,,,,,,14,,,,,,1,1,,,3,,2,,,1,,2,,,1,,,,,2,,,,,1,,1,11,4,,,,,,,,,,,1,,,,,7,,,,,,,18,,9,,,1,,,1,,,,1,1,2,9,,,,,,,,,,,3,"Bursten 1; Kill'd...One by an accidental Fall out of a Window at St Leonard in Shoreditch 1; Kill'd...one accidentally by a Fall on a Stake at St Paul at Shadwel 1",152,130,282,171,173,344,-16
887,14549,1113,1,1702,17,Laxton-1702-17-verso,7,April,14,April,28,,1,,,,,,,1,,,8,1,,1,49,104,,,,16,,52,2,1,"flox 0; small-pox 1",1,1,,,1,,,22,,,,,,,1,,,,,2,,,,,2,,,5,,,,,,,,1,,1,,,11,1,,,,,,,1,2,,1,1,,,,1,4,,,,4,,,25,1,3,1,,,,,,,,,2,,1,8,3,"One in the River Thames at St Dunstan in the East 1; One accidentally at St Olave in Southwark 1; And one in the River of Thames at St John at Wapping 1",,,,,,,1,"Hang'd herself (being Lunatick) at St Giles without Cripplegate 1",2,"Sore Breast 1; Sore Leg 1",160,148,308,202,170,372,28
888,14550,1119,1,1702,18,Laxton-1702-18-verso,14,April,21,April,40,,5,,,,,,,2,,,2,,,4,48,110,1,,,13,,53,1,,,,1,,,1,,,26,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,,,1,1,2,,,3,6,,,,3,,,29,1,4,,,,,,,,,,,,1,10,1,"Drown'd accidentally at St Olave in Southwark 1",,,,,,,,,,,144,171,315,212,176,388,16
889,14551,1120,1,1702,19,Laxton-1702-19-verso,21,April,28,April,23,,2,,,,1,,,,,,4,2,,3,49,102,,,,8,,52,1,3,"flox 0; small-pox 3",,,,,,,,21,,1,,,,2,,,,2,,1,,,,,,,,2,,,,,,,,,,,,1,6,,,,,,,,,,,,1,,,,1,1,,,2,3,,,33,1,2,,,,,1,,,,,,6,3,12,,,,,,,,,,,,,096,186,282,176,176,352,-36
890,14552,1121,1,1702,20,Laxton-1702-20-verso,28,April,5,May,27,,1,,,,,,,1,1,,1,1,,3,60,103,,,,16,,59,,5,"flox 0; small-pox 5",,,,,1,,1,26,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,1,,,,,2,,,,7,,,1,2,,,26,,4,,,1,,,,,,,,,1,8,1,"Drowned accidentally in the River of Thames at St Paul at Shadwel 1",2,"One at St Andrew in Holborn . And one at St Martin in the Fields ",,,1,"Found murthered at St Bridget alias Brides",,,1,"Swelling in the Hip",158,152,310,198,183,381,29
