"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique ID","Start Day","Start Month","End Day","End month","St Alban Woodstreet - Buried","Alhallows Barking - Buried","Allhallows Breadstreet - Buried","Allhallows Great - Buried","Alhallows Honylane - Buried","Alhallows Lesse - Buried","Alhallows Lumbardstreet - Buried","Alhallows Stayning - Buried","Alhallows the Wall - Buried","St Alphage - Buried","St Andrew Hubbard - Buried","St Andrew Undershaft - Buried","St Andrew Wardrobe - Buried","St Ann Aldersgate - Buried","St Ann Blackfryers - Buried","St Antholins Parish - Buried","St Austins Parish - Buried","St Bartholomew Exchange - Buried","St Bennet Fynck - Buried","St Bennet Gracechurch - Buried","St Bennet Paulswharf - Buried","St Bennet Sherehog - Buried","St Botolph Billingsgate - Buried","Christ Church - Buried","St Christophers - Buried","St Clement Eastcheap - Buried","St Dionis Backchurch - Buried","St Dunstan East - Buried","St Edmund Lumbardstr. - Buried","St Ethelborough - Buried","St Faith - Buried","St Foster - Buried","St Gabriel Fenchurch - Buried","St George Botolphlane - Buried","St Gregory by St Pauls - Buried","St Hellen - Buried","St James Dukes place - Buried","St James Garlickhithe - Buried","St John Baptist - Buried","St John Evangelist - Buried","St John Zachary - Buried","St Katharine Coleman - Buried","St Katharine Creechurch - Buried","St Lawrence Jewry - Buried","St Lawrence Pountney - Buried","St Leonard Eastcheap - Buried","St Leonard Fosterlane - Buried","St Magnus Parish - Buried","St Margaret Lothbury - Buried","St Margaret Moses - Buried","St Margaret Newfishstreet - Buried","St Margaret Pattons - Buried","St Mary Abchurch - Buried","St Mary Aldermanbury - Buried","St Mary Aldermary - Buried","St Mary le Bow - Buried","St Mary Bothaw - Buried","St Mary Colechurch - Buried","St Mary Hill - Buried","St Mary Mounthaw - Buried","St Mary Sommerset - Buried","St Mary Stayning - Buried","St Mary Woolchurch - Buried","St Mary Woolnoth - Buried","St Martin Iremongerlane - Buried","St Martin Ludgate - Buried","St Martin Orgars - Buried","St Martin Outwich - Buried","St Martin Vintrey - Buried","St Matthew Fridaystreet - Buried","St Maudlin Milkstreet - Buried","St Maudlin Oldfishstreet - Buried","St Michael Bassishaw - Buried","St Michael Cornhil - Buried","St Michael Crookedlane - Buried","St Michael Queenhithe - Buried","St Michael Quern - Buried","St Michael Royal - Buried","St Michael Woodstreet - Buried","St Mildred Breadstreet - Buried","St Mildred Poultrey - Buried","St Nicholas Acons - Buried","St Nicholas Coleabby - Buried","St Nicholas Olaves - Buried","St Olave Hartstreet - Buried","St Olave Jewry - Buried","St Olave Silverstreet - Buried","St Pancras Pancras street - Buried","St Peter Cheap - Buried","St Peter Cornhil - Buried","St Peter Paulswharf - Buried","St Peter Poor - Buried","St Steven Colemanstreet - Buried","St Steven Walbrook - Buried","St Swithin- Buried","St Thomas Apostles - Buried","Trinity Parish - Buried","Christened in the 97 parishes within the walls","Buried in the 97 parishes within the walls","Plague in the 97 parishes within the walls","St Andrew Holborn - Buried","St Bartholomew Great - Buried","St Bartholomew Less - Buried","St Botolph Aldersgate - Buried","St Botolph Aldgate - Buried","St Botolph Bishopsgate - Buried","Bridewel Precinct - Buried","St Bridget - Buried","St Dunstan West - Buried","St George Southwark - Buried","St Giles Cripplegate - Buried","St John Southwark","St Olave Southwark - Buried","Saviours Southwark - Buried","S Sepulchres Parish - Buried","St Thomas Southwark - Buried","Trinity Minories - Buried","Pesthouse Without the Walls - Buried","Christened in the parishes without the walls","Buried in the parishes without the walls","Plague in the parishes without the walls","St. Ann in Middlesex - Buried","Christ Church in Surry - Buried","Christ Church in Middlesex - Buried","St George in Bloomsbury - Buried","St. George in Middlesex","St. George by Queen's Square - Buried","St Giles in the Field - Buried","Hackney Parish - Buried","St John at Wapping - Buried","St James Clerkenwel - Buried","St Katharine Tower - Buried","Lambeth Parish - Buried","St Leonard Shoreditch - Buried","St. Luke in Middlesex - Buried","St Magdalen Bermondsey - Buried","St Mary Islington - Buried","St Mary Newington - Buried","St Mary Whitechappel - Buried","St Matthew at Bethnal Green - Buried","St Pauls Shadwel - Buried","Rothorith Parish - Buried","Stepney Parish - Buried","Christened in the out-Parishes in Middlesex and Surrey","Buried in the out-Parishes in Middlesex and Surrey","Plague in the out-Parishes in Middlesex and Surrey","St Ann in Westminster - Buried","St Clement Danes - Buried","St George by Hanover Square - Buried","St James in Westminster - Buried","St. John the Evangelist - Buried","St Paul Covent Garden - Buried","St Martin in the fields - Buried","St Mary Savoy - Buried","St Mary le Strand","St Margaret Westminster - Buried","Pesthouse in Westminster","Christened in the Parishes and Liberties of Westminster","Buried in the Parishes and Liberties of Westminster","Plague in the Parishes and Liberties of Westminster"
712,290,229,1,1701,14,Laxton-1701-14-recto,18,March,25,March,1,3,1,3,,,,,1,,1,,1,1,1,1,,,,,1,,,4,1,,,2,,1,1,,,,1,,,,,,,1,,,,,2,,1,,,,1,1,3,,1,,,1,1,1,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,23,40,0,20,,1,6,10,9,,6,6,10,26,,18,11,13,4,1,,97,141,0,,1,,,,,23,6,6,9,3,6,4,,15,3,6,16,,11,,43,112,152,0,11,14,,18,,4,38,3,,14,,78,102,0
713,291,234,1,1701,15,Laxton-1701-15-recto,25,March,1,April,2,4,,,,,,,2,1,1,1,,,7,,,,,1,,,,1,,1,1,3,,1,2,1,,1,1,1,,,,,1,2,1,2,,1,1,1,1,,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,1,,1,,1,,,,1,1,,1,,,,,,6,,,1,,38,59,0,24,,1,5,11,17,,,,9,30,,12,10,15,3,,,96,137,0,,4,,,,,25,,5,6,3,4,10,,8,,3,15,,7,5,47,117,142,0,8,12,,24,,4,19,2,,23,,64,102,0
714,292,236,1,1701,16,Laxton-1700-15-recto,1,April,8,April,,,,2,1,,,1,1,2,,1,6,,3,1,1,,1,,,,,2,,,1,,,,1,3,,,1,,,2,1,,,2,2,,,,,,,,,,,3,,,,,1,,1,,,,,,1,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,35,45,0,17,1,1,5,7,10,1,13,8,7,14,,17,12,11,2,,,95,126,0,,4,,,,,23,2,9,15,2,,7,,8,5,11,9,,9,6,43,115,153,0,8,9,,19,,9,26,2,,14,,57,87,0
715,293,237,1,1701,17,Laxton-1701-17-recto,8,April,15,April,2,3,,,,,,1,,1,,2,2,1,2,,,,,2,,,,3,3,,,1,1,1,,,,,1,,,2,2,,1,,2,,1,,,1,1,,,,1,1,1,,,,,,4,2,,,1,2,3,,,,,,1,2,3,2,1,,,2,,,,,1,,1,,,,,,3,,1,,,27,68,0,17,1,,7,9,9,,6,3,9,,,19,11,6,2,,,63,99,0,,,,,,,28,2,7,3,2,6,9,,7,,3,11,,13,,34,85,125,0,6,8,,24,,5,35,,,22,,82,100,0
716,294,255,1,1701,18,Laxton-1701-18-recto,15,April,22,April,,1,,,,1,,3,,1,,,2,2,4,,,,,1,1,,,1,,,,1,,,1,,,,2,3,,,1,,3,1,1,,1,,1,,1,,,,,,2,1,,,1,,,1,,2,,,2,,,1,,1,,,1,2,,,,,,,1,2,,,1,,,,,,2,,,1,,25,54,0,21,3,,2,13,15,,3,4,8,43,,12,8,9,,,,106,141,0,,,,,,,28,,6,5,2,9,10,,5,3,3,17,,8,,52,98,148,0,14,9,,23,,5,31,4,,21,,72,107,0
717,295,257,1,1701,19,"Laxton-1701-19-recto ",22,April,29,April,,3,,,,,,,3,,,1,,,1,,,,,,2,,1,2,1,,,1,,1,1,3,,,3,,,5,1,,1,1,3,,1,,1,2,,,,1,1,,1,,,,,,1,,,1,,1,,,1,,,,,2,,1,,,,1,,,,,1,,,,,,,1,1,,,,1,36,53,0,27,1,,3,12,12,,5,4,6,21,,15,18,13,2,,,78,139,0,,3,,,,,24,,6,11,4,3,6,,12,5,4,16,,5,6,45,121,150,0,,6,,23,,5,28,3,,23,,65,88,0
718,296,275,1,1701,20,Laxton-1701-20-recto,29,April,6,May,,3,,,,,1,,,1,,1,1,2,2,1,1,1,1,1,,,2,4,,2,,,,1,1,1,,,2,4,1,,,,,3,,2,,,,,1,1,,,,1,2,,,,1,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,2,2,,1,,2,3,1,1,,1,24,62,0,13,3,,3,15,16,,4,6,8,27,,12,13,8,,,,79,128,0,,1,,,,,23,1,4,,3,7,8,,7,,1,15,,11,,53,93,134,0,10,11,,28,,5,36,2,,14,,62,106,0
759,297,276,1,1701,21,Laxton-1701-21-recto,6,May,13,May,,1,,,,,,,2,,,2,,2,3,,,1,2,,,,,3,,,1,,1,,,,,,,1,1,3,,,,,2,1,,,,2,1,,,,,,,2,1,,,,,,,3,,3,,,2,,,,,3,1,,1,1,,1,1,,,,1,1,,,,1,,,2,,2,,,35,55,0,14,1,1,1,16,9,,4,4,11,29,,15,10,18,2,2,,103,137,0,,,,,,,34,3,6,14,5,7,10,,14,8,6,16,,7,,43,108,173,0,15,7,,26,,1,30,2,,13,,60,94,0
760,298,277,1,1701,22,Laxton-1701-22-recto,13,May,20,May,,3,,3,,,,,1,2,,2,1,1,1,,,1,,,3,,1,1,1,,1,,,,1,,,,3,,,,,,1,2,1,2,1,,1,,,,,,,3,,2,,,,,,,,,,,,1,,,,,,1,,,,,,1,1,,,,2,1,,,2,1,,,2,,,1,,20,52,0,26,,2,1,13,4,,6,3,9,23,,8,10,8,1,,,89,114,0,,1,,,,,35,3,4,4,3,9,15,,9,4,2,13,,7,13,40,105,162,0,17,5,,22,,2,29,,,13,,57,88,0
761,299,278,1,1701,23,Laxton-1701-23-recto,20,May,27,May,,1,,,,,1,1,2,2,,,1,2,1,1,,1,1,1,,,,1,,,1,1,,1,1,,1,,2,2,,2,,,,,1,,,,,,1,,,,1,1,,,1,,,,2,,,,,,,,2,,,1,1,1,,,,2,,,,,,,2,,3,,,,,,3,,,1,,32,50,0,25,3,,2,11,9,1,6,4,7,20,,15,10,7,,,,87,120,0,,4,,,,,19,,4,7,2,4,12,,6,2,10,17,,9,4,40,130,140,0,9,17,,15,,8,26,3,,16,,60,94,0
762,300,279,1,1701,24,Laxton-1701-24-recto,27,May,3,June,1,,1,2,,1,1,,3,,,,2,,2,,,1,,,1,,1,3,,1,,,2,,1,,1,,2,,,1,2,,,,1,,,,,,,,,,,1,2,1,,,2,,1,,,,,1,1,1,,2,,,,,2,1,1,,1,1,1,,,,3,2,,,,1,1,,2,,2,,1,38,61,0,20,2,,6,8,10,,5,3,5,20,,21,7,14,2,1,,80,124,0,,3,,,,,29,2,4,4,3,6,10,,7,3,4,16,,9,2,36,120,138,0,7,6,,18,,4,28,1,,13,,55,77,0
763,301,281,1,1701,25,Laxton-1701-25-recto,3,June,10,June,,2,,,,,2,1,3,,1,,2,3,2,1,,,,,,,,2,,,,2,,,1,,,,,1,,,1,,2,1,2,,,,1,1,,,,,,,1,,,,,,2,2,,,,,,,1,,,1,,,,2,1,,,,,,,,,,,,,,,,1,1,,,,26,43,0,12,2,,3,9,13,,3,3,5,22,,11,5,11,,,,78,99,0,,2,,,,,21,,3,4,5,,12,,4,3,5,8,,6,,38,96,111,0,9,5,,20,,5,20,,,15,,68,74,0
764,302,288,1,1701,26,Laxton-1701-26-recto,10,June,17,June,,,,,,,,,1,,2,1,1,1,1,,1,,,,3,,,2,,,2,1,,,,,,,4,,,,2,,,1,2,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,2,26,35,0,19,2,1,3,10,7,,3,3,7,23,,12,14,15,,,,100,119,0,,1,,,,,20,4,4,8,2,10,8,,6,2,1,6,,8,,42,106,132,0,8,9,,18,,4,19,2,,17,,60,77,0
765,303,289,1,1701,27,Laxton-1701-27-recto,17,June,24,June,,,1,,,,1,1,2,,,,,,,,,,,2,,1,,4,,,,,2,1,,1,,,2,,1,,,,,,,,,1,,1,,,,,1,4,,,,,,,1,,,,2,,,,,,,1,,,1,1,,,1,,,,,,,1,1,,,,,,1,,1,,,25,37,0,14,1,2,4,6,6,,9,3,8,19,,9,10,18,,,,84,109,0,,2,,,,,22,4,5,4,4,5,6,,7,3,4,9,,5,7,26,95,113,0,8,6,,18,,3,26,3,,15,,66,79,0
766,304,290,1,1701,28,Laxton-1701-28-recto,24,June,1,July,,3,,1,,2,,,1,,1,1,1,1,4,,1,,,1,,,,2,,,,,2,1,,1,,1,4,,1,,,1,2,5,1,,,,,1,,,,,1,,,,,,,,2,,,,,3,,,1,,,,1,2,,,,1,,1,2,,,,1,,,,,3,,,2,,,,1,41,62,0,14,4,,2,9,9,,5,3,2,25,,21,14,10,3,,,96,121,0,,1,,,,,25,2,3,5,1,9,11,,8,3,3,13,,8,6,37,99,135,0,10,3,,20,,3,28,5,,11,,58,80,0
767,305,291,1,1701,29,Laxton-1701-29-recto,1,July,7,July,1,1,,,,,1,,1,1,1,1,1,,2,,,,,,1,,,4,,,,3,,1,4,2,1,2,,1,1,2,,,,,,1,,1,,2,,,,,2,1,,,,,,,,,,1,,,,,,1,,1,,1,,1,2,,,,2,,,,,1,,,1,,,3,2,1,,,,39,56,0,18,2,3,5,11,8,,3,1,3,21,,10,9,12,1,,,83,107,0,,1,,,,,28,3,7,5,2,4,6,,16,1,3,9,,7,3,39,89,134,0,5,7,,21,,6,22,2,,11,,75,74,0
768,306,292,1,1701,30,Laxton-1701-30-recto,8,July,15,July,,1,,,,,,,,1,,2,,1,3,,,,1,,,,,,,,,3,1,1,,,1,,3,,,1,,,,,,,2,,2,1,,,,,,,,2,,,1,,1,,,,1,,,,,,,1,,1,,,,,,,,,,,,1,1,,,,,,2,,,,,17,35,0,12,1,,5,10,5,,4,2,6,20,,16,17,15,2,,,77,115,0,,2,,,,,23,4,10,7,3,6,8,,9,1,6,11,,8,,42,80,140,0,11,7,,15,,6,19,2,,14,,68,74,0
769,307,293,1,1701,31,Laxton-1701-31-recto,15,July,22,July,1,,,,,,3,1,1,,,2,,1,2,,,1,1,,,,,1,1,,1,2,,3,,,,,1,,,1,,1,1,2,,2,,,,1,,,,,2,,,2,,,,,,,,,1,,,,,,,1,1,1,3,1,,,,,,,,1,1,,1,,,1,1,1,2,3,,1,,38,54,0,18,,,2,16,6,,5,4,8,26,,20,16,17,1,1,,87,140,0,,2,,,,,21,,5,5,5,9,8,,8,,8,12,,12,9,43,84,147,0,7,7,,24,,4,30,1,,25,,65,98,0
770,308,305,1,1701,32,Laxton-1701-32-recto,22,July,29,July,,4,,,,,1,,2,1,1,1,,,3,,2,,,,1,,,3,,,3,,,2,,2,,,3,,1,1,,,,,4,,,,,,,,,,,2,,,,,,,,,,1,1,,1,,1,,,,1,1,2,,,1,1,,1,,,,1,,,,,2,,,2,,,1,,31,54,0,16,1,,5,10,10,,6,1,2,23,,9,9,11,1,,,98,104,0,,3,,,,,26,4,7,5,3,7,10,,13,,2,15,,12,6,42,112,155,0,12,12,,17,,4,23,2,,18,,67,88,0
771,309,306,1,1701,33,Laxton-1701-33-recto,29,July,5,August,,1,1,,,,,,2,,,,1,,1,,1,,,,1,,,8,1,,1,1,,1,1,,,,,1,,,1,1,,2,1,,1,,,2,,,,,,,,,,,1,,,,,2,,,,,,,,,1,,,,,,,1,,,,,1,,,,,2,,,6,1,,,,39,44,0,17,3,1,6,12,6,,11,4,6,23,,12,7,12,1,,,96,121,0,,,,,,,25,2,6,6,7,6,8,,6,1,5,12,,3,3,25,103,132,0,6,4,,17,,3,26,2,,16,,71,74,0
772,310,307,1,1701,34,Laxton-1701-34-recto,5,August,12,August,,2,,1,,,,2,1,,,,,,2,,,,1,,,,,,1,,,1,,,1,1,,,,1,,1,,,,1,1,4,,1,2,2,,,,,,,,,,,,1,3,,,2,,2,,,,,,,,1,1,,,,,,1,,,,2,,,,,,,,1,,1,,,43,41,0,11,,,4,7,12,,9,4,4,26,,14,12,11,,,,93,114,0,,5,,,,,32,2,7,5,5,5,12,,10,1,4,16,,8,,55,102,167,0,8,10,,24,,6,22,3,,16,,74,89,0
773,311,308,1,1701,35,Laxton-1701-35-recto,12,August,19,August,3,1,1,2,,,,,1,1,,,1,,2,,,2,,,1,1,,,,,,,,1,1,,,,,,,,,1,,,3,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,1,,,,1,,,33,33,0,19,1,1,4,5,4,,9,1,1,19,,16,7,19,,1,,99,107,0,,1,,,,,40,,7,10,4,5,9,,11,3,3,14,,6,8,42,104,161,0,11,11,,24,,2,30,3,,15,,92,96,0
774,312,313,1,1701,36,Laxton-1701-36-recto,19,August,26,August,,1,,,1,,,1,1,,,,1,,,,,,,,3,,1,1,1,1,1,2,,,,1,,,2,,,,,,1,3,2,,,,1,,,,,,,,,,,,1,,,,,,1,3,,2,2,,,1,,,1,2,,,,1,,,,1,2,,,,,,,,3,1,,,1,34,49,0,22,2,1,3,8,5,,8,1,6,34,,12,14,15,2,2,,75,135,0,,2,,,,,31,4,11,6,,7,12,,5,,3,15,,7,2,29,82,134,0,17,6,,20,,3,32,2,,16,,51,96,0
775,313,315,1,1701,37,Laxton-1701-37-recto,26,August,2,September,,1,1,,,,,,1,,,1,2,,9,,,,,,,,,5,,2,,,,1,,,,,,,,2,,,,1,1,4,,,2,1,1,,,,,1,3,,,,,,3,1,,2,1,,,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,3,,,,,23,53,0,16,,,4,10,7,,10,3,6,24,,12,11,10,1,,,86,114,0,,5,,,,,45,8,9,10,7,6,11,,8,4,2,12,,9,,36,98,172,0,16,10,,26,,2,36,4,,17,,73,111,0
776,314,316,1,1701,38,Laxton-1701-38-recto,2,September,9,September,1,4,,2,1,,,1,1,,1,,,,1,1,,,1,,1,,,2,,,,,2,1,,,,,,,,,,,3,1,,3,,,1,1,1,,,,,2,1,1,,,2,,,,,,,1,,1,,,,,,,,2,,,1,,,,3,1,,1,1,,,1,1,2,1,,,1,,36,53,0,17,1,,2,13,8,,3,3,9,18,,16,9,9,,,,89,108,0,,,,,,,35,2,3,12,7,6,16,,11,2,3,11,,4,5,41,91,158,0,6,7,,17,,4,26,1,,14,,77,75,0
777,315,331,1,1701,39,Laxton-1701-39-recto,9,September,16,September,,,,1,,,1,1,,1,,,3,1,,,,,,,2,,,4,,1,,4,,,1,,,,,,,1,,,,1,3,,,,1,,,,,,2,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,1,,,1,2,,1,,,17,37,0,16,2,3,5,15,4,,7,5,7,15,,16,7,18,,,,93,120,0,,2,,,,,29,5,11,10,,5,6,,7,3,4,10,,3,4,30,115,129,0,9,10,,18,,5,27,4,,18,,73,91,0
778,316,332,1,1701,40,Laxton-1701-40-recto,16,September,23,September,1,2,2,,,,,1,1,1,,,3,1,1,,,,,,1,,,3,,,1,2,,1,1,,,,,,,2,2,,,,2,1,,2,,2,,,,,1,,,,,,,,1,,,1,,1,,,3,,,,,3,,1,,2,1,,,,,1,,,1,,1,2,1,,,,,,,36,53,0,18,1,1,4,8,9,3,10,3,4,24,,8,13,10,2,,,102,118,0,,2,,,,,28,2,3,3,4,,14,,3,2,3,10,,9,,37,79,120,0,9,10,,15,,5,20,,,19,,101,78,0
819,317,333,1,1701,41,Laxton-1701-41-recto,23,September,30,September,,,,4,,,,,1,,,1,,1,1,,,,1,1,1,,1,1,,,3,2,3,,,,,1,1,,,,,,1,2,3,2,,,,,1,,,,,,,,,1,2,,1,,,,,,,,,1,,,,,,1,,,,,,,1,,,1,,,1,2,1,,,2,,1,,34,46,0,16,1,,6,8,9,,4,2,8,21,,17,8,12,4,,,110,116,0,,2,,,,,24,2,2,11,2,6,6,,10,2,3,12,,7,,30,97,119,0,7,11,,13,,6,27,4,,13,,71,81,0
